7:eve01.cha-*CHI:	xxx at ?
10869:eve13.cha-*CHI:	you come on Wednesday .
10875:eve13.cha-*CHI:	I go take my Easter baskets for bed .
10881:eve13.cha-*CHI:	I go take my Easter baskets for bed .
10887:eve13.cha-*CHI:	I go take my Easter baskets for bed .
10893:eve13.cha-*CHI:	I go take my Easter baskets for bed .
10929:eve13.cha-*CHI:	I get a pencil (.) Fraser (.) for write .
10937:eve13.cha-*CHI:	I writing on man eye .
10947:eve13.cha-*CHI:	writing on you man .
10952:eve13.cha-*CHI:	xxx for you ?
10973:eve13.cha-*CHI:	Mom buying it for me . [+ RES]
10978:eve13.cha-*CHI:	go in sandbox .
10983:eve13.cha-*CHI:	we go put my glasses on (.) for [/] for play in the sandbox .
10996:eve13.cha-*CHI:	xxx at the store . [+ RES]
11006:eve13.cha-*CHI:	it for Fraser .
11011:eve13.cha-*CHI:	for he coffee .
11025:eve13.cha-*CHI:	what happen xxx to my paper ?
11035:eve13.cha-*CHI:	I writing on man mustache .
11041:eve13.cha-*CHI:	xxx to color .
11044:eve13.cha-*CHI:	xxx to color .
11047:eve13.cha-*CHI:	xxx for color .
11053:eve13.cha-*CHI:	xxx for color .
11059:eve13.cha-*CHI:	let me (.) do [/] do on the table .
11064:eve13.cha-*CHI:	let me do it on the table .
11073:eve13.cha-*CHI:	girl on a swing .
11079:eve13.cha-*CHI:	going xxx on a swing .
11084:eve13.cha-*CHI:	what happened to horse ?
11104:eve13.cha-*CHI:	go take crayon off the crayon .
11119:eve13.cha-*CHI:	it belong on the crayon .
11147:eve14.cha-*CHI:	let's find out what it is . [+ IMIT]
11171:eve14.cha-*CHI:	it only write on the pad . [+ IMIT]
11176:eve14.cha-*CHI:	with ice+cubes in it ?
11197:eve14.cha-*CHI:	xxx graham+cracker with grape juice . [+ RES]
11208:eve14.cha-*CHI:	I want ice+cube with grape juice .
11237:eve14.cha-*CHI:	yes (.) it's time for lunch .
11271:eve14.cha-*CHI:	Sue (.) that for you and Fraser .
11281:eve14.cha-*CHI:	on me .
11286:eve14.cha-*CHI:	he sitting in our new chair .
11300:eve14.cha-*CHI:	that a part of Eve xxx broom . [+ IMIT]
11315:eve14.cha-*CHI:	playing with Becky . [+ RES]
11325:eve14.cha-*CHI:	<play with Tim> [//] play with [?] little boy .
11341:eve14.cha-*CHI:	playing in the sandbox . [+ RES]
11360:eve14.cha-*CHI:	let me play outside (.) after I take a nap ?
11394:eve14.cha-*CHI:	you open xxx for me .
11427:eve14.cha-*CHI:	Fraser [/] Fraser go stay [/] stay in our living+room .
11459:eve14.cha-*CHI:	I play with Fraser . [+ RES]
11481:eve14.cha-*CHI:	in my eye .
11504:eve14.cha-*CHI:	Jack fell down an(d) xxx pail of water .
11521:eve14.cha-*CHI:	let me play with he in my room [= bed+room] .
11532:eve14.cha-*CHI:	and you going down with me ?
11592:eve14.cha-*CHI:	xxx in the living+room .
11614:eve14.cha-*CHI:	it'll ring by itself .
11630:eve14.cha-*CHI:	and a rattle in the toy box .
11656:eve14.cha-*CHI:	in the toy box .
11682:eve14.cha-*CHI:	(un)til next year . [+ RES]
11692:eve14.cha-*CHI:	it for wake .
11697:eve14.cha-*CHI:	for wake . [+ RES]
11707:eve14.cha-*CHI:	for wake . [+ RES]
11723:eve14.cha-*CHI:	I have one for you .
11728:eve14.cha-*CHI:	I can sit (.) by you .
11794:eve14.cha-*CHI:	xxx we all through with it . [+ IMIT]
11805:eve14.cha-*CHI:	another piece (.) in xxx wastebasket .
11826:eve14.cha-*CHI:	on the flower .
11848:eve14.cha-*CHI:	what happened to flower ?
11853:eve14.cha-*CHI:	what happened to flower ? [+ RES]
11866:eve14.cha-*CHI:	a pile of leave . [+ IMIT]
11871:eve14.cha-*CHI:	you make it there (.) by your other flower . [+ IMP]
11877:eve14.cha-*CHI:	an orange house right there (.) by green one . [+ RES]
11922:eve14.cha-*CHI:	you put cream on that house . [+ IMP]
11937:eve14.cha-*CHI:	a house with it . [+ RES]
11942:eve14.cha-*CHI:	by the green one . [+ RES]
11957:eve14.cha-*CHI:	that right there by [/] by other one . [+ RES]
11962:eve14.cha-*CHI:	xxx playing in the basement . [+ RES]
11967:eve14.cha-*CHI:	we're playing in the basement .
11972:eve14.cha-*CHI:	playing in the basement . [+ RES]
11977:eve14.cha-*CHI:	in the basement . [+ RES]
11988:eve14.cha-*CHI:	have write it this a way (.) like this .
11994:eve14.cha-*CHI:	on he tail .
12004:eve14.cha-*CHI:	write on the trail . [+ IMIT]
12045:eve14.cha-*CHI:	making a peanut+butter sandwich for me ? [+ RES]
12067:eve14.cha-*CHI:	I want <a piece> [/] a piece <of it> [/] of it too .
12078:eve14.cha-*CHI:	Mom (.) remember we went to [/] to Rhode Island ?
12095:eve14.cha-*CHI:	I want piece of it .
12112:eve14.cha-*CHI:	a bill (.) from Doctor Finn (.) to fix Eve chin .
12162:eve14.cha-*CHI:	I spilled it on the floor too .
12173:eve15.cha-*CHI:	on the table . [+ RES]
12178:eve15.cha-*CHI:	spilled on it . [+ RES]
12188:eve15.cha-*CHI:	Sue [/] Sue (.) I want blow up this [= partly deflated balloon] .
12197:eve15.cha-*CHI:	Sue [/] Sue (.) you take the stick out_of [?] it .
12224:eve15.cha-*CHI:	go sit her on the stool .
12230:eve15.cha-*CHI:	I [?] trying a blow it up (.) Fraser .
12233:eve15.cha-*CHI:	I have blow it up [/] up big .
12245:eve15.cha-*CHI:	I can blow it in my mouth .
12263:eve15.cha-*CHI:	there (.) it has knot in it .
12268:eve15.cha-*CHI:	because it have knot in it +...
12273:eve15.cha-*CHI:	<put the> [/] put the stick in because it has knot in it . [+ RES]
12295:eve15.cha-*CHI:	Fraser can hold it (.) for me .
12301:eve15.cha-*CHI:	on the jacket .
12328:eve15.cha-*CHI:	an(d) it in my toy box . [+ RES]
12359:eve15.cha-*CHI:	we saved in the toy box .
12381:eve15.cha-*CHI:	because [/] because [/] because it has no bandaids on it . [+ RES]
12391:eve15.cha-*CHI:	I go get in the toy box .
12396:eve15.cha-*CHI:	taking it to New_Brunswick . [+ RES]
12413:eve15.cha-*CHI:	+, to New_Brunswick .
12418:eve15.cha-*CHI:	in [/] in [/] in [/] in [/] in New_Brunswick .
12447:eve15.cha-*CHI:	be bigger than my crib . [+ IMIT]
12452:eve15.cha-*CHI:	I go climb in it .
12473:eve15.cha-*CHI:	Becky go sleep in other bed with [/] with me .
12496:eve15.cha-*CHI:	I got a train on it .
12507:eve15.cha-*CHI:	the train goes on it .
12517:eve15.cha-*CHI:	fast as me . [+ RES]
12522:eve15.cha-*CHI:	faster [/] faster as me .
12532:eve15.cha-*CHI:	Sue (.) you do it for me . [+ IMP]
12540:eve15.cha-*CHI:	an(d) what you go do to it ?
12545:eve15.cha-*CHI:	an(d) I go do it too with you .
12556:eve15.cha-*CHI:	I tripped over railroad . [+ IMIT]
12573:eve15.cha-*CHI:	because [/] because it just have a xxx at the top .
12579:eve15.cha-*CHI:	because it doesn't have any air in it .
12597:eve15.cha-*CHI:	I play in the sandbox . [+ RES]
12608:eve15.cha-*CHI:	a birthday cake with Becky an(d) with Cathy . [+ RES]
12619:eve15.cha-*CHI:	for [/] for (.) a horse had [/] <had (t)a> [/] have a drink of water . [+ RES]
12647:eve15.cha-*CHI:	in (.) a bucket . [+ RES]
12657:eve15.cha-*CHI:	after drink of water had <go in> [//] go [/] go [/] <go in> [/] go in it .
12669:eve15.cha-*CHI:	after drink of water go in it (.) then the birthday cake .
12675:eve15.cha-*CHI:	after the drink of water had a turn .
12688:eve15.cha-*CHI:	xxx in the house . [+ RES]
12718:eve15.cha-*CHI:	in (.) the airplane . [+ RES]
12734:eve15.cha-*CHI:	they're at Ohio .
12744:eve15.cha-*CHI:	in the airport . [+ RES]
12759:eve15.cha-*CHI:	I go put [/] put them on the other bridge .
12765:eve15.cha-*CHI:	I put them on the [//] this bridge .
12770:eve15.cha-*CHI:	oh (.) Sue (.) what's happened to my railroad ?
12781:eve15.cha-*CHI:	what I do to it ?
12791:eve15.cha-*CHI:	this is at a house .
12796:eve15.cha-*CHI:	this is at a house . [+ RES]
12810:eve15.cha-*CHI:	well this is up in the house .
12815:eve15.cha-*CHI:	well this is up in the house . [+ RES]
12820:eve15.cha-*CHI:	in the house .
12825:eve15.cha-*CHI:	in the airport . [+ RES]
12842:eve15.cha-*CHI:	Sue (.) look at the big railroad . [+ IMP]
12855:eve15.cha-*CHI:	for railroad .
12860:eve15.cha-*CHI:	I go step on it .
12870:eve15.cha-*CHI:	Sue (.) I want a piece of cheese .
12880:eve15.cha-*CHI:	I want have piece of cheese .
12890:eve15.cha-*CHI:	on Wednesday . [+ RES]
12900:eve15.cha-*CHI:	an(d) Fraser come on (.) Saturday .
12916:eve15.cha-*CHI:	an(d) Cromer come on Wednesday .
12921:eve15.cha-*CHI:	no (.) xxx come on Wednesday .
12926:eve15.cha-*CHI:	Fraser an(d) Cromer doesn't [: don't] [*] come on Wednesday . [+ RES]
12943:eve15.cha-*CHI:	an(d) they go (.) in a fortnight .
12961:eve15.cha-*CHI:	Sue (.) let me have tapioca in noodle soup .
12973:eve15.cha-*CHI:	let me share one with Pops .
12997:eve15.cha-*CHI:	an(d) put a ice+cube in it .
13007:eve15.cha-*CHI:	you put an ice+cubes in it .
13051:eve15.cha-*CHI:	there one right in bottom . [+ IMIT]
13062:eve15.cha-*CHI:	I goin(g) share my raisin with Becky .
13071:eve15.cha-*CHI:	<share my> [/] share my raisin with Becky again . [+ RES]
13090:eve15.cha-*CHI:	on the wrists . [+ IMIT]
13100:eve15.cha-*CHI:	what [/] what xxx you pouring for Fraser and Cromer ?
13124:eve15.cha-*CHI:	<I &wa I want to how> [//] I show it to Cromer .
13148:eve15.cha-*CHI:	came in the house . [+ RES]
13165:eve15.cha-*CHI:	I want an ice+cube in it .
13171:eve15.cha-*CHI:	at the Harvard_Square .
13187:eve15.cha-*CHI:	after my nap . [+ IMIT]
13225:eve15.cha-*CHI:	on Saturday I watch them . [+ RES]
13236:eve15.cha-*CHI:	they xxx be on Wednesday .
13246:eve15.cha-*CHI:	Sue (.) they'll be on a fortnight .
13257:eve15.cha-*CHI:	outside (.) when we go on the sidewalk . [+ RES]
13263:eve15.cha-*CHI:	an(d) we have xxx put water in the bucket .
13269:eve15.cha-*CHI:	from [/] from on the bed .
13294:eve15.cha-*CHI:	put it in the bucket and put it <in the> [/] in the (.) dirt . [+ RES]
13306:eve15.cha-*CHI:	from the gate .
13333:eve15.cha-*CHI:	for me . [+ RES]
13391:eve15.cha-*CHI:	Sue (.) they go in the closet .
13401:eve15.cha-*CHI:	for you .
13434:eve15.cha-*CHI:	I can fold it with you .
13439:eve15.cha-*CHI:	it too big for me .
13452:eve15.cha-*CHI:	when I get big like Mom .
13462:eve15.cha-*CHI:	sheets all go in the closet .
13473:eve15.cha-*CHI:	they all go in the closet . [+ IMIT]
13478:eve15.cha-*CHI:	they all go in the closet . [+ IMIT]
13483:eve15.cha-*CHI:	and Papa's socks go in that drawer .
13515:eve15.cha-*CHI:	climbing up the .
13520:eve15.cha-*CHI:	xxx up the stairs .
13525:eve15.cha-*CHI:	I go up high way .
13534:eve15.cha-*CHI:	in bed sleeping . [+ RES]
13544:eve15.cha-*CHI:	you move that (.) for me (.) please . [+ IMP]
13568:eve15.cha-*CHI:	in the brown one . [+ IMIT]
13596:eve15.cha-*CHI:	Fraser's sitting in our red chair .
13614:eve15.cha-*CHI:	in the chair . [+ RES]
13626:eve15.cha-*CHI:	in your hand . [+ RES]
13637:eve15.cha-*CHI:	you writing with you pencil .
13643:eve15.cha-*CHI:	Cromer not writing with he pencil .
13654:eve15.cha-*CHI:	he have them on he [/] he head .
13690:eve15.cha-*CHI:	different like Cromer .
13701:eve15.cha-*CHI:	<what you> [/] what you have on you nose +...
13706:eve15.cha-*CHI:	what [/] what you was having on you nose ?
13737:eve15.cha-*CHI:	what me doing to you ?
13755:eve15.cha-*CHI:	Sue (.) what [//] why you wipe on your leg ?
13760:eve15.cha-*CHI:	Sue (.) you spilled it on you .
13765:eve15.cha-*CHI:	Sue (.) what [/] what you have in you mouth ?
13810:eve15.cha-*CHI:	here out_of my teeth .
13815:eve15.cha-*CHI:	a splinter in my teeth .
13831:eve15.cha-*CHI:	they don't have splinters in them . [+ IMIT]
13842:eve15.cha-*CHI:	you sitting <in our new> [/] in our new chair we bought .
13854:eve15.cha-*CHI:	on Saturday (.) when we go on the seesaw .
13887:eve15.cha-*CHI:	sing it with me .
13893:eve15.cha-*CHI:	xxx sing it with me .
13921:eve16.cha-*CHI:	playing and getting some medicine for our horses . [+ RES]
13933:eve16.cha-*CHI:	I want fold the diapers with you .
13945:eve16.cha-*CHI:	have go to doctor and put a bandaid on it .
13963:eve16.cha-*CHI:	writing on you a@l . [+ RES]
13969:eve16.cha-*CHI:	go sit [/] sit with you .
13981:eve16.cha-*CHI:	Mommy (.) I have candle in my birthday cake .
14009:eve16.cha-*CHI:	in the couch . [+ IMIT]
14020:eve16.cha-*CHI:	I go make a great big hole in my pants .
14037:eve16.cha-*CHI:	it belong on my head .
14047:eve16.cha-*CHI:	outside (.) in the sandbox (.) Lee_na_levey_lee_no . [+ RES]
14063:eve16.cha-*CHI:	no (.) I don't want to .
14069:eve16.cha-*CHI:	sing with me . [+ IMP]
14084:eve16.cha-*CHI:	no (.) sing it [?] with me . [+ IMP]
14095:eve16.cha-*CHI:	you sing with me . [+ IMP]
14106:eve16.cha-*CHI:	do it with me . [+ IMP]
14138:eve16.cha-*CHI:	Nancy having he lunch in Becky house .
14156:eve16.cha-*CHI:	it time for my lunch .
14199:eve16.cha-*CHI:	it [?] don't have some tapioca in it .
14205:eve16.cha-*CHI:	don't have some tapioca in it . [+ RES]
14221:eve16.cha-*CHI:	a different kind of cracker . [+ IMIT]
14231:eve16.cha-*CHI:	what Fraser doing with he arm . [+ RES]
14237:eve16.cha-*CHI:	I goin(g) have bite of the seed .
14265:eve16.cha-*CHI:	remember we goed [: went] [* +ed] to Peabody_School and have +...
14271:eve16.cha-*CHI:	have some xxx at Peabody_School . [+ RES]
14287:eve16.cha-*CHI:	what [/] what do Eve have at the Peabody_School ? [+ RES]
14293:eve16.cha-*CHI:	at Cathy .
14307:eve16.cha-*CHI:	this afternoon (.) when I wake up my nap . [+ RES]
14316:eve16.cha-*CHI:	we go to Peabody_School . [+ RES]
14327:eve16.cha-*CHI:	when I wake up my nap . [+ IMIT]
14330:eve16.cha-*CHI:	in the +... [+ RES]
14336:eve16.cha-*CHI:	man in the men in the box . [+ RES]
14353:eve16.cha-*CHI:	you say men with you cheese .
14384:eve16.cha-*CHI:	I want some pepper on tapioca .
14389:eve16.cha-*CHI:	right here by my plate . [+ RES]
14405:eve16.cha-*CHI:	Sue (.) let me cut xxx in little pieces .
14422:eve16.cha-*CHI:	let me cut it in little pieces .
14428:eve16.cha-*CHI:	you cut it in little pieces (.) and bite it (.) this way .
14455:eve16.cha-*CHI:	after lunch make a man .
14460:eve16.cha-*CHI:	in a bag . [+ RES]
14476:eve16.cha-*CHI:	it to chew on ?
14512:eve16.cha-*CHI:	he going home in a fortnight .
14517:eve16.cha-*CHI:	he going home in a fortnight .
14522:eve16.cha-*CHI:	Fraser going home in a fortnight .
14539:eve16.cha-*CHI:	Sue (.) you turn on the fan . [+ IMP]
14549:eve16.cha-*CHI:	turn on that xxx (.) please . [+ RES]
14562:eve16.cha-*CHI:	lot of people don't like the fan .
14579:eve16.cha-*CHI:	I making <this kind> [/] this kind of dinosaur .
14602:eve16.cha-*CHI:	friends of the family . [+ IMIT]
14613:eve16.cha-*CHI:	on couch ?
14629:eve16.cha-*CHI:	he go come in a week maybe .
14665:eve16.cha-*CHI:	what happened to that in the hole ?
14679:eve16.cha-*CHI:	water dripping out_of (s)pigot .
14690:eve16.cha-*CHI:	you put on lipstick on [/] on my lipstick . [+ RES]
14702:eve16.cha-*CHI:	I wake up my nap .
14721:eve16.cha-*CHI:	in the morning . [+ IMIT]
14731:eve16.cha-*CHI:	in the morning . [+ IMIT]
14737:eve16.cha-*CHI:	in the morning . [+ IMIT]
14743:eve16.cha-*CHI:	in the morning . [+ IMIT]
14754:eve16.cha-*CHI:	good+morning [/] good+morning to you .
14768:eve16.cha-*CHI:	xxx be in the (s)pigot .
14773:eve16.cha-*CHI:	(.) staying in the (s)pigot .
14778:eve16.cha-*CHI:	it staying in the (s)pigot . [+ RES]
14794:eve16.cha-*CHI:	on a fortnight .
14811:eve16.cha-*CHI:	let me play with the peg toy .
14822:eve16.cha-*CHI:	I want play with the peg toy .
14827:eve16.cha-*CHI:	I want to play with the peg toy .
14844:eve16.cha-*CHI:	xxx dry diaper on her .
14862:eve16.cha-*CHI:	I go sit in the chair +... [+ RES]
14874:eve16.cha-*CHI:	I go have it in my chair .
14932:eve16.cha-*CHI:	I [/] I getting on it .
14948:eve16.cha-*CHI:	no:t ove:r a:rms . [+ IMIT]
14968:eve16.cha-*CHI:	bap@c [//] <in the bap@c in the bap@c> [/] in the bap@c . [+ RES]
14978:eve16.cha-*CHI:	in that bap@c .
15037:eve16.cha-*CHI:	no (.) you move the pencil out the way .
15049:eve16.cha-*CHI:	writing with Fraser and Cromer . [+ RES]
15054:eve16.cha-*CHI:	writing on Fraser pad . [+ RES]
15059:eve16.cha-*CHI:	down here (.) at the next page .
15074:eve16.cha-*CHI:	I writing a lady's finger (.) on top .
15080:eve16.cha-*CHI:	write a lady for me . [+ IMP]
15085:eve16.cha-*CHI:	I go write a lady for you .
15101:eve16.cha-*CHI:	Papa writing with he pencil too .
15107:eve16.cha-*CHI:	we writing in the living+room with our pencils .
15130:eve16.cha-*CHI:	that the sticky of bandaid .
15152:eve16.cha-*CHI:	Fraser [/] Fraser sitting in my new chair .
15158:eve16.cha-*CHI:	xxx in the bag ?
15163:eve16.cha-*CHI:	xxx in the bag ? [+ RES]
15189:eve16.cha-*CHI:	Sarah gonna make noise [?] with xxx bottle .
15200:eve16.cha-*CHI:	I [//] let me hear you to Sarah . [+ IMP]
15213:eve16.cha-*CHI:	she looking at me .
15218:eve16.cha-*CHI:	Papa laying down on the couch .
15223:eve16.cha-*CHI:	on Saturday (.) when you have [/] have you hammer . [+ RES]
15241:eve16.cha-*CHI:	I talking with Fraser and Cromer .
15264:eve16.cha-*CHI:	he buy them all by heemself [: himself] .
15278:eve16.cha-*CHI:	he listening to [/] to Papa . [+ RES]
15289:eve16.cha-*CHI:	he listening [/] listening to Fraser and Papa .
15300:eve16.cha-*CHI:	just like Eve . [+ IMIT]
15305:eve16.cha-*CHI:	on my lap . [+ RES]
15321:eve16.cha-*CHI:	xxx lay down with me .
15334:eve17.cha-*CHI:	xxx eat it in the kitchen .
15351:eve17.cha-*CHI:	Sue (.) Sue (.) lady came with Fraser .
15400:eve17.cha-*CHI:	on couch . [+ RES]
15405:eve17.cha-*CHI:	Pap fixed it for me . [+ RES]
15420:eve17.cha-*CHI:	Papa [/] Papa found it for me (.) in the paper .
15432:eve17.cha-*CHI:	blue one on the table .
15443:eve17.cha-*CHI:	Papa xxx from picture . [+ RES]
15454:eve17.cha-*CHI:	in bed . [+ RES]
15459:eve17.cha-*CHI:	goin(g) play with Becky .
15476:eve17.cha-*CHI:	I want some o(f) yours .
15481:eve17.cha-*CHI:	is [/] that a new kind of grape juice ?
15524:eve17.cha-*CHI:	and the bingerbread [: gingerbread] man going on the fox's +...
15547:eve17.cha-*CHI:	he on a [/] a fox's nose .
15552:eve17.cha-*CHI:	xxx going in the fox's tummy .
15568:eve17.cha-*CHI:	it came from my book [/] book box .
15573:eve17.cha-*CHI:	they're all around the yard .
15587:eve17.cha-*CHI:	see pictures of Papa . [+ RES]
15603:eve17.cha-*CHI:	he [/] he [= mother] wiping up that I spill .
15621:eve17.cha-*CHI:	<I put> [/] I put these books on the pillow .
15654:eve17.cha-*CHI:	because he going to school . [+ RES]
15659:eve17.cha-*CHI:	he [/] he [= she] putting on he [= her] coat . [+ RES]
15672:eve17.cha-*CHI:	he [/] he went to school .
15695:eve17.cha-*CHI:	trying a put the toys on the girl . [+ RES]
15707:eve17.cha-*CHI:	they go downstair(s) xxx and past a goldfish and over xxx .
15713:eve17.cha-*CHI:	and people peeking out [/] out the kitchen door .
15741:eve17.cha-*CHI:	xxx another story (a)bout Hippety_hop .
15747:eve17.cha-*CHI:	xxx on he coat .
15775:eve17.cha-*CHI:	he [/] he [/] he just standing there with he hat on .
15781:eve17.cha-*CHI:	it's in my tummy . [+ RES]
15787:eve17.cha-*CHI:	it's in my tummy . [+ RES]
15804:eve17.cha-*CHI:	he looking at me . [+ RES]
15809:eve17.cha-*CHI:	making a (s)weater for me .
15819:eve17.cha-*CHI:	a sweater (.) <with the needles> [//] &wi &wi with the green needles . [+ RES]
15829:eve17.cha-*CHI:	moving right back at the door .
15857:eve17.cha-*CHI:	it on the subway train .
15869:eve17.cha-*CHI:	to [/] to subway train and I didn't see you and Fraser anymore .
15910:eve17.cha-*CHI:	you write a lady for me . [+ IMP]
15915:eve17.cha-*CHI:	oh you [/] you put you finger on the lady .
15927:eve17.cha-*CHI:	draw another lady for me (.) two lady xxx . [+ IMP]
15932:eve17.cha-*CHI:	two lady xxx for me . [+ RES]
15949:eve17.cha-*CHI:	you write something for me . [+ IMIT]
15965:eve17.cha-*CHI:	<I eat> [/] I eat it all for my supper . [+ RES]
16044:eve17.cha-*CHI:	in the [?] Hippity_hop book . [+ IMIT]
16060:eve17.cha-*CHI:	xxx in a bag ?
16111:eve17.cha-*CHI:	when xxx big (.) you can have lobster salad [/] salad too for your lunch .
16117:eve17.cha-*CHI:	xxx little bit big like me .
16134:eve17.cha-*CHI:	xxx putting lobster salad in Papa sandwich . [+ RES]
16144:eve17.cha-*CHI:	you do [/] do some milk for me .
16154:eve17.cha-*CHI:	Sarah [/] Sarah sitting in the shoe shine shop .
16159:eve17.cha-*CHI:	xxx sing (.) I been working on the railroad .
16170:eve17.cha-*CHI:	on bread ?
16191:eve17.cha-*CHI:	on couch (.) then he be back . [+ RES]
16202:eve17.cha-*CHI:	Sarah sitting in the shoe shine shop .
16208:eve17.cha-*CHI:	Sarah [/] Sarah sitting in the shoe shine shop .
16216:eve17.cha-*CHI:	for Fraser .
16236:eve17.cha-*CHI:	in her study ?
16246:eve17.cha-*CHI:	in Papa ?
16261:eve17.cha-*CHI:	Papa in he study .
16299:eve17.cha-*CHI:	I [/] I forgot xxx eat supper at the beach .
16310:eve17.cha-*CHI:	we goed [: went] [* +ed] to the beach and saw +... [+ RES]
16321:eve17.cha-*CHI:	Sarah (.) Sarah (.) sitting in the shoe shine shop .
16392:eve17.cha-*CHI:	and when I wake up from my nap .
16398:eve17.cha-*CHI:	when I wake up from my nap .
16409:eve17.cha-*CHI:	from [/] <from my> [/] from my good night sleep .
16426:eve17.cha-*CHI:	when [/] when I wake up from my nap .
16453:eve17.cha-*CHI:	I go for you toy box .
16478:eve17.cha-*CHI:	xxx for you .
16484:eve17.cha-*CHI:	little Miss_Muffet (.) sat on a tuffet +...
16510:eve17.cha-*CHI:	in the house . [+ RES]
16531:eve17.cha-*CHI:	xxx play with my ear .
16542:eve17.cha-*CHI:	Sue (.) she playing with my lap .
16554:eve17.cha-*CHI:	hi you go play with the ear .
16576:eve17.cha-*CHI:	that looks like Papa .
16586:eve17.cha-*CHI:	for Becky . [+ RES]
16613:eve17.cha-*CHI:	and when I wake up I can go play with the children .
16626:eve17.cha-*CHI:	Sue (.) what I doing to you ?
16636:eve17.cha-*CHI:	pushing with my knees . [+ RES]
16641:eve17.cha-*CHI:	<because I> [/] because I xxx (.) I go push the rest of it .
16653:eve17.cha-*CHI:	I go push the rest of it .
16662:eve17.cha-*CHI:	I go push it right back to you .
16668:eve17.cha-*CHI:	then I push the rest of it (.) there .
16674:eve17.cha-*CHI:	how I get in (.) silly .
16677:eve17.cha-*CHI:	silly (.) how I get in (.) silly .
16680:eve17.cha-*CHI:	that for Fraser an(d) Colin .
16685:eve17.cha-*CHI:	that for Colin ?
16696:eve17.cha-*CHI:	xxx some of my peg toys for you [= Sarah] .
16701:eve17.cha-*CHI:	Sue (.) go write on [/] on this .
16711:eve17.cha-*CHI:	on this . [+ RES]
16731:eve17.cha-*CHI:	Sue (.) my write xxx with this .
16736:eve17.cha-*CHI:	I drawing on my dress .
16759:eve17.cha-*CHI:	I trying to write on my dress .
16765:eve17.cha-*CHI:	with me .
16770:eve17.cha-*CHI:	<you make> [/] you make a lady for me . [+ IMP]
16781:eve17.cha-*CHI:	this looks like a lollipop [= pencil] .
16793:eve17.cha-*CHI:	you make a lady for me . [+ IMP]
16804:eve17.cha-*CHI:	all [?] get on it . [+ IMP]
16809:eve17.cha-*CHI:	get on the train . [+ IMP]
16819:eve17.cha-*CHI:	on the train .
16856:eve17.cha-*CHI:	Papa (.) you [/] Papa (.) you want to read it for me ?
16868:eve17.cha-*CHI:	no (.) I can read the stories xxx to me . [+ RES]
16879:eve17.cha-*CHI:	you want to read it for me ? [+ RES]
16895:eve17.cha-*CHI:	you may make something for me .
16906:eve17.cha-*CHI:	with this .
16932:eve17.cha-*CHI:	write another one for me . [+ IMP]
16945:eve17.cha-*CHI:	because (.) there no pictures on it .
16969:eve17.cha-*CHI:	I putting them on the floor so_that I can bounce .
16981:eve17.cha-*CHI:	we go get some paint xxx for me +...
16992:eve17.cha-*CHI:	don't bang on it again . [+ IMP]
17003:eve17.cha-*CHI:	I take off my socks .
17008:eve17.cha-*CHI:	I take off my socks .
17018:eve17.cha-*CHI:	I on the book .
17040:eve17.cha-*CHI:	in that shoe ?
17045:eve17.cha-*CHI:	in that shoe .
17051:eve17.cha-*CHI:	in that shoe .
17057:eve17.cha-*CHI:	in that shoe .
17068:eve17.cha-*CHI:	behind [/] behind that bus .
17106:eve17.cha-*CHI:	I went on the bus (.) when we went on the subway . [+ RES]
17120:eve17.cha-*CHI:	at the same time . [+ IMIT]
17130:eve17.cha-*CHI:	no (.) on [/] on a bus (.) and it shut the door by itself .
17143:eve17.cha-*CHI:	on the subway on the bus .
17148:eve17.cha-*CHI:	that [/] that look like a swimming pool .
17153:eve17.cha-*CHI:	that [/] that looks like a sailing+boat too .
17180:eve17.cha-*CHI:	for [/] for bus stops .
17203:eve17.cha-*CHI:	sitting on you toes .
17208:eve17.cha-*CHI:	I sitting on you toes .
17213:eve17.cha-*CHI:	I sitting on you legs .
17218:eve17.cha-*CHI:	Sue [/] Sue (.) <a lady not coming> [//] a lady &wa wasn't coming with Fraser .
17224:eve17.cha-*CHI:	you have_to read it for me .
17232:eve17.cha-*CHI:	you read this for me . [+ IMP]
17254:eve17.cha-*CHI:	they're coming back (.) from market .
17260:eve17.cha-*CHI:	I going eat a bit of my tapioca .
17272:eve17.cha-*CHI:	I going eat a bit of it . [+ RES]
17330:eve17.cha-*CHI:	Sue (.) here (.) hold this on the counter . [+ IMP]
17353:eve17.cha-*CHI:	I washed (.) for Mama my dish and [/] and my spoon and cup and everything .
17359:eve17.cha-*CHI:	+, because I spill some water from the sink .
17387:eve17.cha-*CHI:	baby [/] (.) baby (.) drink you head in gravy (.) wash it up with bubble+gum (.) and send it to the navy [?] .
17412:eve17.cha-*CHI:	stick you head in gravy ?
17423:eve17.cha-*CHI:	stick you head in gravy (.) wash it up with bubble+gum (.) and send it to the navy .
17442:eve17.cha-*CHI:	that a tail from a lobster ?
17453:eve17.cha-*CHI:	take off your shoe . [+ IMP]
17479:eve17.cha-*CHI:	mayonnaise (.) on you finger .
17484:eve17.cha-*CHI:	Eve in the tree .
17500:eve17.cha-*CHI:	I'm in my own baby carriage .
17506:eve17.cha-*CHI:	I'm in my own baby carriage .
17512:eve17.cha-*CHI:	I'm in my own baby carriage .
